SNo;Name;Symbol;Date;High;Low;Open;Close;Volume;Marketcap;Rank
1;Bitcoin;BTC;29/04/2013;147.49;134;134.44;144.54;0.00;1603768865;1
2;Bitcoin;BTC;30/04/2013;146.93;134.05;144;139;0.00;1542813125;1
3;Bitcoin;BTC;1/05/2013;139.89;107.72;139;116.99;0.00;1298954594;1
4;Bitcoin;BTC;2/05/2013;125.6;92.28;116.38;105.21;0.00;1168517495;1
5;Bitcoin;BTC;3/05/2013;108.13;79.1;106.25;97.75;0.00;1085995169;1
6;Bitcoin;BTC;4/05/2013;115;92.5;98.1;112.5;0.00;1250316563;1
7;Bitcoin;BTC;5/05/2013;118.8;107.14;112.9;115.91;0.00;1288693176;1
8;Bitcoin;BTC;6/05/2013;124.66;106.64;115.98;112.3;0.00;1249023060;1
9;Bitcoin;BTC;7/05/2013;113.44;97.7;112.25;111.5;0.00;1240593600;1
10;Bitcoin;BTC;8/05/2013;115.78;109.6;109.6;113.57;0.00;1264049202;1
11;Bitcoin;BTC;9/05/2013;113.46;109.26;113.2;112.67;0.00;1254535382;1
12;Bitcoin;BTC;10/05/2013;122;111.55;112.8;117.2;0.00;1305479080;1
13;Bitcoin;BTC;11/05/2013;118.68;113.01;117.7;115.24;0.00;1284207489;1
14;Bitcoin;BTC;12/05/2013;117.45;113.43;115.64;115;0.00;1281982625;1
15;Bitcoin;BTC;13/05/2013;118.7;114.5;114.82;117.98;0.00;1315710011;1
16;Bitcoin;BTC;14/05/2013;119.8;110.25;117.98;111.5;0.00;1243874488;1
17;Bitcoin;BTC;15/05/2013;115.81;103.5;111.4;114.22;0.00;1274623813;1
18;Bitcoin;BTC;16/05/2013;118.76;112.2;114.22;118.76;0.00;1325726787;1
19;Bitcoin;BTC;17/05/2013;125.3;116.57;118.21;123.01;0.00;1373723882;1
20;Bitcoin;BTC;18/05/2013;125.25;122.3;123.5;123.5;0.00;1379574546;1
